Squadra;Categoria;"#31 (text)";"#32 (text)";"#33 (text)";"#34 (text)";"#35 (text)";"#36 (text)";"#37 (text)";"#38 (text)";"#39 (text)";"#40 (text)";"#41 (text)";"#42 (text)";"#43 (text)";"#44 (text)";"#45 (text)";"#46 (text)";"#47 (text)";"#48 (text)";"#49 (text)";"#50 (text)";"#51 (text)";"#52 (text)";"#53 (text)";"#54 (text)";"#55 (text)";"#56 (text)";"#57 (text)";"#58 (text)";"#59 (text)";"#60 (text)";"#61 (text)";"#62 (text)";"#63 (text)";"#64 (text)";"#65 (text)";"#66 (text)";"#67 (text)";"#68 (text)";"#69 (text)";"#70 (text)";"#71 (text)";"#72 (text)";"#73 (text)";"#74 (text)";"#75 (text)";"#76 (text)";"#77 (text)";"#78 (text)";"#79 (text)";"#80 (text)";"#81 (text)";"#82 (text)";"#83 (text)";"#84 (text)";"#85 (text)";"ULTIMO ORARIO ESATTO";"TOTALE"
"GPS SIGNAL LOAT";"Ludica";"MILLE";"6";"3";"17";"1";"Comunità ";"Piacenza e Vigevano";"Ossa";"2";"818";"2";"2";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Defunti";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"7";"10";"MCML";"Sinistra";"2";"3";"31";"REGVL";"5";"Verde";"SOLVE";"Ada";"FRONS";"DOM";"Poveri";"Pacis";"Cartografia";"Nere";"2";"2";"1";"5";"1998";"AMICA";"Wally";"Mundi Maria";"4";"17:56:43";"46"
"Scuri";"Ludica";"MILLE";"6";"3";"18";"2";"EPARCHIA";"PIACENZA E VIGEVANO";"OSSA";"-";"-";"-";"-";"-";"-";"GIGLIO";"PACIFICO";"1";"4";"-";"-";"-";"1954";"3";"CANONICO";"INDOMITA";"-";"2";"-";"-";"10";"-";"-";"-";"3";"31";"REGVL";"5";"-";"-";"ADA";"FRONS";"DOM";"POVERI";"PACIS";"-";"-";"2";"-";"1";"-";"-";"-";"WALLY";"UNICA";"4";"17:53:31";"32"
"I fiutatori";"Ludica";"MILLE ";"6";"3";"18";"2";"Eparchia ";"Piacenza e Vigevano ";"Le ossa ";"2";"818";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Indomita fierezza ";"-";"-";"-";"-";"10";"-";"-";"-";"3";"31";"-";"-";"-";"-";"-";"Frons";"-";"-";"-";"-";"-";"2";"-";"1";"-";"-";"-";"Wally";"Unica ";"4";"17:58:58";"19"
"Scuri";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Ghittoni";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Georunners";"Ludica";"-";"-";"3";"18";"2";"Eparchia";"Piacenza e vigevano";"Le ossa del patrio annalista Cristoforo poggiali";"2";"818";"4";"-";"-";"-";"-";"-";"1";"2";"6";"-";"2";"1954";"3";"Canonico";"Indomina";"Valentino";"2";"-";"7";"10";"Mcml";"Sinistra";"-";"-";"31";"Gervl";"5";"Verde";"-";"-";"-";"-";"Poveri";"Della pace";"Migrazione";"-";"2";"2";"1";"-";"-";"-";"Wally";"Unica";"4";"17:01:16";"27"
"Giovani Wannabe";"Ludica";"-";"6";"-";"-";"-";"-";"piacenza e vigevano";"Ossa";"-";"818";"2";"2";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"-";"2";"1954";"3";"Canonico";"Indomita";"-";"2";"3";"-";"10";"-";"-";"2";"3";"-";"Regvl";"5";"-";"Solve";"Ada";"Arons";"-";"Poveri";"Pacis";"-";"Nero";"-";"-";"1";"5";"1998";"-";"Wally";"-";"-";"17:18:27";"34"
"Freccios";"Ludica";"Mille";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"3";"Grande";"Giglio";"Pacifico";"1";"-";"-";"-";"-";"1954";"3";"-";"-";"-";"2";"3";"-";"-";"-";"-";"2";"3";"-";"Regvl";"-";"-";"Solve";"-";"-";"-";"-";"Pacis";"-";"-";"-";"-";"-";"5";"1998";"-";"-";"-";"-";"17:05:21";"19"
"Ghittoni";"Ludica";"Mille";"6";"3";"18";"2";"Eparchia";"Piacenza e Vigevano";"Ossa";"2";"818";"2";"-";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"5";"10";"-";"Sinistro";"2";"3";"31";"Regvl";"5";"-";"Solve";"-";"Frons";"-";"Poveri";"-";"Livellazione";"Nero";"2";"2";"1";"5";"1998";"-";"Wally";"Unica";"4";"17:59:54";"46"
"gruppassone";"Ludica";"MILLE";"6";"3";"18";"2";"Eparchia";"Piacenza e Vigevano";"Ossa";"2";"818";"2";"2";"3";"Grande";"GIGLIO";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"10";"10";"MCML";"Sinistra";"2";"3";"31";"Regvl";"5";"Verde";"Solve";"ADA";"Frons";"DOM";"Poveri";"Della pace";"LIVELLAZIONE";"Nero";"2";"2";"1";"5";"1998";"DOMVS";"WALLY";"Unica";"4";"17:55:22";"54"
